id,姓名,加入時間,班級
493,劉志宏,2021-07-30 10:38:52.197874,8月班
494,周怡如,2021-07-26 09:00:34.528136,8月班
495,張龍,2021-07-21 07:14:42.609994,8月班
496,閔淑惠,2021-07-27 23:52:09.016391,8月班
497,駱傑克,2021-07-29 17:30:21.711311,8月班
498,牛俊傑,2021-07-30 05:56:59.728672,8月班
499,劉懿,2021-07-27 11:47:34.027366,8月班
500,王佳樺,2021-07-25 20:34:53.590627,8月班
501,栗郁婷,2021-07-26 04:39:01.573520,8月班
502,黃俊傑,2021-07-29 01:01:56.341957,8月班
503,李佩君,2021-07-27 20:57:30.842279,8月班
504,王佳慧,2021-07-30 00:42:09.375747,8月班
505,劉宜庭,2021-07-29 20:37:03.008661,8月班
506,趙佳玲,2021-07-27 02:53:46.096450,8月班
507,楊宜庭,2021-07-28 10:13:47.966003,8月班
508,柴雅雯,2021-07-30 23:54:09.026415,8月班
509,楊佩珊,2021-07-26 17:23:36.540534,8月班
510,吳庭瑋,2021-07-27 16:28:27.527432,8月班
511,張婷婷,2021-07-31 21:51:49.273696,8月班
512,田雅婷,2021-07-30 05:21:50.453227,8月班
513,位靜宜,2021-07-27 10:29:41.864548,8月班
514,林慧君,2021-07-28 20:19:55.960734,8月班
515,賀沖,2021-07-30 07:07:27.597545,8月班
516,徐羽,2021-07-31 01:51:14.896641,8月班
517,王郁雯,2021-07-29 14:30:35.099557,8月班
518,王佩君,2021-07-26 21:47:30.838171,8月班
519,劉淑慧,2021-07-28 09:02:51.030321,8月班
520,劉佳樺,2021-07-29 21:37:47.149520,8月班
521,黃淑慧,2021-07-31 22:32:45.272494,8月班
522,王怡萱,2021-07-27 05:01:13.647496,8月班
523,範雅雯,2021-07-25 17:25:59.421874,8月班
524,曹惠婷,2021-07-29 19:36:54.740530,8月班
525,杜雅涵,2021-07-26 18:55:23.227614,8月班
526,李羽,2021-07-25 02:19:05.411638,8月班
527,林淑玲,2021-07-31 02:44:43.178236,8月班
528,鄭惠婷,2021-07-25 14:49:19.362516,8月班
529,馬婷婷,2021-07-25 20:31:43.026731,8月班
530,彭瑋婷,2021-07-29 00:54:53.714150,8月班
531,謝承翰,2021-07-27 10:50:53.812704,8月班
532,王雅筑,2021-07-28 03:07:53.816081,8月班
533,朱依婷,2021-07-30 20:58:20.694044,8月班
534,譚柏翰,2021-07-27 16:36:06.015176,8月班
535,夏嘉玲,2021-07-26 06:27:47.794732,8月班
536,陳思穎,2021-07-31 14:46:53.102860,8月班
537,陳中山,2021-07-26 15:38:11.882322,8月班
538,周筱涵,2021-07-27 07:44:23.062097,8月班
539,邢詩涵,2021-07-24 15:17:13.276834,8月班
540,袁淑慧,2021-07-30 12:05:25.703920,8月班
541,李冠宇,2021-07-30 05:54:47.783961,8月班
542,吳惠如,2021-07-29 17:17:42.662445,8月班
543,徐淑貞,2021-07-29 00:53:07.632426,8月班
544,武飛,2021-07-29 14:59:49.492449,8月班
545,曾庭瑋,2021-07-25 18:11:07.037024,8月班
546,嶽欣怡,2021-07-25 23:10:34.795295,8月班
547,楊志偉,2021-07-31 18:16:06.241129,8月班
548,劉雅琪,2021-07-28 13:19:30.820736,8月班
549,陳冠宇,2021-07-26 17:42:02.346210,8月班
550,李雅芳,2021-07-26 08:42:02.887096,8月班
551,耿淑娟,2021-07-31 05:58:38.127980,8月班
552,韓郁雯,2021-07-29 08:09:14.109260,8月班
553,烏雅雯,2021-07-31 10:19:25.236596,8月班
554,王柏翰,2021-07-30 04:08:08.189097,8月班
555,馬雅芳,2021-07-30 06:29:32.480321,8月班
556,張志豪,2021-07-23 11:14:33.524245,8月班
557,韋雅婷,2021-07-30 13:41:18.378660,8月班
558,王宜君,2021-07-30 22:15:59.437408,8月班
559,徐美玲,2021-07-23 06:47:54.335484,8月班
560,明飛,2021-07-30 14:30:31.390834,8月班
561,王美玲,2021-07-30 21:53:24.519344,8月班
562,劉志宏,2021-07-30 13:18:47.692259,8月班
563,王怡婷,2021-07-24 17:20:03.143687,8月班
564,閻冠霖,2021-07-30 19:15:41.563835,8月班
565,辜淑娟,2021-07-26 06:59:40.470900,8月班
566,劉思穎,2021-07-25 10:11:39.317033,8月班
567,張家瑋,2021-07-28 23:01:34.634129,8月班
568,淩心怡,2021-07-29 03:14:53.339900,8月班
569,鄧淑華,2021-07-30 00:34:23.576649,8月班
570,戴惠如,2021-07-29 03:15:34.775831,8月班
571,梁俊賢,2021-07-29 18:36:26.254466,8月班
572,方冠廷,2021-07-27 07:40:29.527815,8月班
573,楊柏翰,2021-07-22 04:21:51.378946,8月班
574,李家瑋,2021-07-28 20:11:38.288026,8月班
575,高淑華,2021-07-24 05:49:41.774545,8月班
576,張志偉,2021-07-31 04:15:12.712467,8月班
577,譚佳慧,2021-07-31 21:30:18.059589,8月班
578,劉淑芬,2021-07-31 18:25:04.288736,8月班
579,馮惠雯,2021-07-31 11:05:36.353908,8月班
580,楊郁婷,2021-07-31 15:51:25.912161,8月班
581,王淑芬,2021-07-25 23:45:56.030617,8月班
582,鐘俊賢,2021-07-30 19:57:49.608675,8月班
583,賈瑋婷,2021-07-31 09:48:30.037651,8月班
584,杜美琪,2021-07-31 16:59:34.579338,8月班
585,楊柏翰,2021-07-27 04:45:31.312145,8月班
586,袁雅涵,2021-07-31 18:06:41.654890,8月班
587,薛依婷,2021-07-26 06:38:35.538588,8月班
588,姚宇軒,2021-07-30 02:56:07.070014,8月班
589,鄭威廷,2021-07-27 06:51:47.191189,8月班
590,楊怡伶,2021-07-30 10:19:40.857057,8月班
591,蘇惠如,2021-07-25 20:11:48.367480,8月班
592,高怡如,2021-07-31 05:51:32.095492,8月班
593,王宜庭,2021-07-28 23:39:23.417639,8月班
594,雷怡婷,2021-07-31 17:26:20.094353,8月班
595,彭志豪,2021-07-30 08:55:52.661160,8月班
596,馬怡婷,2021-07-26 23:38:53.822384,8月班
597,鄧俊賢,2021-07-30 22:06:14.085928,8月班
598,範怡君,2021-07-29 06:56:23.192851,8月班
599,李雅涵,2021-07-27 09:31:26.194065,8月班
600,陳慧君,2021-07-31 04:09:06.614013,8月班
601,羅佳慧,2021-07-26 11:07:43.082362,8月班
602,石怡萱,2021-07-31 06:32:12.216934,8月班
603,童冠霖,2021-07-30 18:10:32.566279,8月班
604,石惠婷,2021-07-31 11:18:49.816696,8月班
605,黃飛,2021-07-28 19:29:37.420518,8月班
606,林中山,2021-07-28 04:34:22.497781,8月班
607,嶽美琪,2021-07-28 09:22:02.518276,8月班
608,王婷婷,2021-07-23 21:58:53.194006,8月班
609,黃建宏,2021-07-30 04:56:08.935740,8月班
610,谷淑芬,2021-07-28 20:01:12.323752,8月班
611,許琬婷,2021-07-30 05:47:10.373505,8月班
612,王嘉玲,2021-07-26 10:04:09.224305,8月班
613,龐婷婷,2021-07-28 02:21:02.906344,8月班
614,曹詩涵,2021-07-27 02:21:37.510212,8月班
615,趙雅慧,2021-07-27 13:15:56.136826,8月班
616,蒙志宏,2021-07-27 23:31:03.967415,8月班
617,秦慧君,2021-07-30 07:57:18.876214,8月班
618,黃俊宏,2021-07-22 07:24:05.144991,8月班
619,謝怡如,2021-07-29 01:29:16.521760,8月班
620,王信宏,2021-07-30 06:46:00.858277,8月班
621,羅冠宇,2021-07-28 15:33:43.789080,8月班
622,瞿雅惠,2021-07-24 20:07:10.128468,8月班
623,朱靜宜,2021-07-27 23:11:07.683280,8月班
624,謝羽,2021-07-29 22:13:22.926422,8月班
625,席沖,2021-07-26 17:54:32.496505,8月班
626,張筱涵,2021-07-26 01:23:20.045422,8月班
627,曾家豪,2021-07-30 00:14:45.723034,8月班
628,龐雅慧,2021-07-26 09:01:39.905528,8月班
629,黃宇軒,2021-07-26 07:07:39.968736,8月班
630,劉嘉玲,2021-07-25 05:32:18.705023,8月班
631,伍俊傑,2021-07-25 11:44:59.786485,8月班
632,賈中山,2021-07-30 11:22:58.715459,8月班
633,雷婷婷,2021-07-26 10:33:32.853614,8月班
634,苗怡如,2021-07-29 21:06:40.571295,8月班
635,薛佳蓉,2021-07-30 21:01:12.855813,8月班
636,龍怡伶,2021-07-30 21:24:56.455020,8月班
637,李家銘,2021-07-31 12:45:11.158726,8月班
638,韓惠婷,2021-07-28 22:44:50.586330,8月班
639,萬婷婷,2021-07-27 03:33:18.356347,8月班
640,孫威廷,2021-07-29 23:06:56.519168,8月班
641,齊雅萍,2021-07-28 17:31:14.748743,8月班
642,丁宜庭,2021-07-20 18:02:27.739020,8月班
643,簡筱涵,2021-07-31 23:02:28.682182,8月班
644,姜佳玲,2021-07-25 20:05:03.856594,8月班
645,房雅琪,2021-07-30 07:52:17.605247,8月班
646,黎郁雯,2021-07-30 03:34:06.647440,8月班
647,吳淑芬,2021-07-31 23:35:04.331743,8月班
648,石志豪,2021-07-26 20:33:07.585904,8月班
649,徐婉婷,2021-07-27 18:08:28.319565,8月班
650,賈婷婷,2021-07-27 03:51:07.109531,8月班
651,趙雅慧,2021-07-25 03:11:11.366245,8月班
652,王佩君,2021-07-30 17:19:34.016045,8月班
653,黃懿,2021-07-28 13:00:11.323474,8月班
654,易雅涵,2021-07-28 20:35:03.615080,8月班
655,王佳穎,2021-07-31 22:34:59.814929,8月班
656,嵇柏翰,2021-07-30 13:48:00.858884,8月班
657,曹龍,2021-07-23 16:33:08.906912,8月班
658,張雅芳,2021-07-23 17:58:06.760945,8月班
659,朱惠婷,2021-07-27 23:12:24.589714,8月班
660,龔佳穎,2021-07-26 12:27:47.303007,8月班
661,郭宗翰,2021-07-29 04:05:23.600323,8月班
662,劉中山,2021-07-31 08:08:43.019674,8月班
663,王怡婷,2021-07-30 15:30:19.904202,8月班
664,徐沖,2021-07-31 05:48:00.223898,8月班
665,楊鈺婷,2021-07-25 18:24:15.160145,8月班
666,符美玲,2021-07-23 08:08:34.926089,8月班
667,王雅筑,2021-07-30 20:23:15.615312,8月班
668,蔣怡伶,2021-07-29 15:43:51.219760,8月班
669,王惠雯,2021-07-27 23:55:28.786004,8月班
670,胡淑玲,2021-07-30 22:30:52.455068,8月班
671,王佳慧,2021-07-30 00:29:15.925373,8月班
672,馮怡萱,2021-07-28 08:58:30.797571,8月班
673,謝佩君,2021-07-29 04:17:52.972568,8月班
674,劉淑慧,2021-07-23 14:08:53.274774,8月班
675,劉婉婷,2021-07-27 04:36:22.022551,8月班
676,杜志偉,2021-07-25 16:58:32.099864,8月班
677,王彥廷,2021-07-28 05:14:22.766364,8月班
678,趙惠婷,2021-07-29 09:25:46.345768,8月班
679,鄢志宏,2021-07-27 22:43:57.027393,8月班
680,程淑慧,2021-07-24 21:31:24.711062,8月班
681,章龍,2021-07-31 01:49:04.066080,8月班
682,韓威廷,2021-07-25 12:26:20.134004,8月班
683,王彥廷,2021-07-29 10:36:33.285592,8月班
684,朱中山,2021-07-31 18:13:33.797732,8月班
685,劉宜庭,2021-07-30 10:30:36.811069,8月班
686,龍龍,2021-07-26 15:42:13.287158,8月班
687,馮淑慧,2021-07-29 08:48:26.648158,8月班
688,範詩婷,2021-07-30 14:29:13.478626,8月班
689,金佩珊,2021-07-29 16:16:46.531415,8月班
690,帥淑華,2021-07-30 09:29:36.876304,8月班
691,劉雅玲,2021-07-28 18:36:07.655154,8月班
692,蔡慧君,2021-07-28 12:28:23.711660,8月班
693,楊家瑜,2021-07-31 11:02:58.151032,8月班
694,黃鈺婷,2021-07-31 17:32:22.530393,8月班
695,郭懿,2021-07-27 12:10:15.626879,8月班
696,許怡安,2021-07-25 12:53:53.792751,8月班
697,杜靜怡,2021-07-28 08:03:04.151458,8月班
698,陳承翰,2021-07-29 14:49:40.158423,8月班
699,劉沖,2021-07-30 22:19:36.647348,8月班
700,張中山,2021-07-31 00:24:24.367052,8月班
701,周俊賢,2021-07-25 00:18:57.123448,8月班
702,羅婷婷,2021-07-27 23:32:58.085310,8月班
703,陳佳玲,2021-07-31 09:56:53.454453,8月班
704,李郁婷,2021-07-27 12:18:14.261837,8月班
705,樸惠如,2021-07-23 10:38:03.670772,8月班
706,何彥廷,2021-07-30 04:27:59.060489,8月班
707,張怡安,2021-07-29 14:58:06.777386,8月班
708,李佳蓉,2021-07-25 14:26:04.097068,8月班
709,馬雅文,2021-07-29 00:39:17.655936,8月班
710,宗筱涵,2021-07-27 15:52:38.640385,8月班
711,連瑋婷,2021-07-27 05:03:25.475232,8月班
712,張中山,2021-07-29 21:27:47.232304,8月班
713,林鈺婷,2021-07-31 17:05:37.249800,8月班
714,白淑惠,2021-07-31 05:21:54.385005,8月班
715,羅婉婷,2021-07-29 01:49:15.976019,8月班
716,朱雅筑,2021-07-24 15:13:35.855112,8月班
717,趙雅惠,2021-07-31 13:40:09.206003,8月班
718,常淑玲,2021-07-29 03:20:23.118912,8月班
719,趙依婷,2021-07-27 13:11:38.728658,8月班
720,程郁婷,2021-07-24 15:37:47.459846,8月班
721,徐怡安,2021-07-31 08:27:58.992541,8月班
722,解婉婷,2021-07-29 19:31:55.785243,8月班
723,邵佳玲,2021-07-31 13:23:04.840526,8月班
724,陸家瑋,2021-07-29 13:51:22.537128,8月班
725,郭彥廷,2021-07-28 09:04:28.215315,8月班
726,陳怡如,2021-07-31 10:18:49.777484,8月班
727,馬婉婷,2021-07-30 18:54:21.263152,8月班
728,向惠婷,2021-07-29 16:43:54.602180,8月班
729,何怡如,2021-07-25 05:54:47.486450,8月班
730,殷威廷,2021-07-26 21:44:30.830496,8月班
731,楊雅涵,2021-07-27 00:05:35.430877,8月班
732,李雅慧,2021-07-27 21:08:02.760497,8月班
733,張佩珊,2021-07-28 23:16:32.807844,8月班
734,劉郁雯,2021-07-30 21:54:26.678589,8月班
735,穆雅玲,2021-07-24 23:24:03.361352,8月班
736,林怡君,2021-07-31 04:10:32.231916,8月班
737,童依婷,2021-07-30 14:04:37.156857,8月班
738,馬雅惠,2021-07-25 16:03:16.327133,8月班
739,譚佳穎,2021-07-25 07:07:19.716322,8月班
740,李怡婷,2021-07-30 18:36:23.756354,8月班
741,張鈺婷,2021-07-30 16:43:13.585733,8月班
742,曾佳蓉,2021-07-30 16:42:32.193901,8月班
743,黨靜宜,2021-07-30 00:56:56.104397,8月班
744,劉心怡,2021-07-30 02:44:49.460069,8月班
745,陳雅萍,2021-07-28 17:49:40.276907,8月班
746,王佳玲,2021-07-29 03:53:27.355833,8月班
747,夏靜宜,2021-07-29 00:24:47.961199,8月班
748,陳靜怡,2021-07-31 21:33:57.470114,8月班
749,鞠雅筑,2021-07-31 17:58:20.327656,8月班
750,翟宜君,2021-07-25 19:43:32.138581,8月班
751,唐怡伶,2021-07-26 14:54:52.263541,8月班
752,李威廷,2021-07-27 05:53:21.328138,8月班
753,陳思穎,2021-07-30 01:21:07.508241,8月班
754,劉雅芳,2021-07-30 08:31:52.165958,8月班
755,羅慧君,2021-07-27 14:09:37.972384,8月班
756,張家瑋,2021-07-24 20:20:53.394750,8月班
757,施冠廷,2021-07-29 03:52:44.231969,8月班
758,王嘉玲,2021-07-29 06:55:57.646555,8月班
759,林郁雯,2021-07-29 03:45:58.943359,8月班
760,吳沖,2021-07-29 07:25:44.183920,8月班
761,王惠雯,2021-07-31 19:52:23.403098,8月班
762,陳佩君,2021-07-28 10:18:13.829003,8月班
763,王怡萱,2021-07-29 20:17:19.379921,8月班
764,楊羽,2021-07-29 05:35:54.656306,8月班
765,雷心怡,2021-07-31 14:33:57.837025,8月班
766,崔瑋婷,2021-07-31 12:27:38.808019,8月班
767,王雅玲,2021-07-29 19:34:41.648610,8月班
768,趙筱涵,2021-07-31 18:15:42.110337,8月班
769,孫郁婷,2021-07-18 14:07:49.331377,8月班
770,黃淑芬,2021-07-26 11:31:40.998194,8月班
771,羅家豪,2021-07-28 22:00:17.832845,8月班
772,王彥廷,2021-07-24 17:15:13.872239,8月班
773,郭懿,2021-07-29 07:49:24.945590,8月班
774,葉雅婷,2021-07-29 21:57:04.475941,8月班
775,朱瑋婷,2021-07-31 12:50:04.292394,8月班
776,蘭惠婷,2021-07-28 20:30:33.033169,8月班
777,王怡萱,2021-07-22 02:29:37.912641,8月班
778,莊郁雯,2021-07-26 20:16:04.754518,8月班
779,張宇軒,2021-07-31 22:15:48.552742,8月班
780,楊冠宇,2021-07-28 03:12:13.900909,8月班
781,王馨儀,2021-07-30 18:21:02.794121,8月班
782,蘇志宏,2021-07-30 02:41:16.578046,8月班
783,賀飛,2021-07-28 09:01:16.058366,8月班
784,蘆淑貞,2021-07-18 08:25:04.354281,8月班
785,嶽雅玲,2021-07-29 14:14:23.025162,8月班
786,胡雅慧,2021-07-28 13:15:28.704899,8月班
787,蔡家銘,2021-07-29 00:14:42.168020,8月班
788,汪建宏,2021-07-31 19:11:42.165507,8月班
789,賴惠雯,2021-07-26 13:57:55.837351,8月班
790,張志宏,2021-07-30 14:21:26.386216,8月班
791,張雅文,2021-07-26 21:30:03.387561,8月班
792,吳嘉玲,2021-07-25 21:54:01.841975,8月班
793,吳靜怡,2021-07-22 19:22:48.241368,8月班
794,劉雅萍,2021-07-26 09:13:28.782996,8月班
795,張淑貞,2021-07-29 07:57:37.515737,8月班
796,武佳穎,2021-07-31 07:56:41.273809,8月班
797,徐怡君,2021-07-27 01:24:32.302483,8月班
798,張郁雯,2021-07-26 10:09:48.557761,8月班
799,方中山,2021-07-26 21:04:08.687008,8月班
800,王家瑜,2021-07-31 06:33:49.985430,8月班
801,劉志偉,2021-07-27 14:03:42.962683,8月班
802,劉惠婷,2021-07-30 18:42:25.883542,8月班
803,繆佩君,2021-07-31 13:32:04.495469,8月班
804,袁慧君,2021-07-31 08:48:14.468187,8月班
805,易惠婷,2021-07-28 07:56:17.857955,8月班
806,曹惠雯,2021-07-29 13:03:44.176736,8月班
807,李靜宜,2021-07-28 01:24:36.293734,8月班
808,紀冠霖,2021-07-27 13:19:55.226714,8月班
809,潘惠婷,2021-07-28 23:47:59.803436,8月班
810,王佩君,2021-07-29 01:45:51.883142,8月班
811,向家瑋,2021-07-29 22:26:00.945287,8月班
812,伍怡如,2021-07-29 11:04:22.264929,8月班
813,施雅雯,2021-07-31 23:30:29.813392,8月班
814,朱怡安,2021-07-26 11:53:11.815409,8月班
815,樂傑克,2021-07-25 05:21:29.605612,8月班
816,劉俊賢,2021-07-25 23:06:38.240599,8月班
817,裴傑克,2021-07-31 00:26:52.750687,8月班
818,張惠婷,2021-07-28 10:00:17.202530,8月班
819,晁鈺婷,2021-07-31 11:22:32.454294,8月班
820,張詩婷,2021-07-31 07:17:34.685526,8月班
821,陳惠如,2021-07-28 01:19:58.900122,8月班
822,夏靜怡,2021-07-25 11:44:51.582488,8月班
823,莫家瑜,2021-07-23 17:47:17.579955,8月班
824,方詩婷,2021-07-29 12:50:31.174313,8月班
825,蔡惠如,2021-07-30 13:27:02.471435,8月班
826,林冠宇,2021-07-27 10:10:17.948630,8月班
827,仝佳樺,2021-07-24 03:37:18.613459,8月班
828,趙淑芬,2021-07-28 18:07:51.796829,8月班
829,李雅文,2021-07-31 23:24:32.960691,8月班
830,李怡萱,2021-07-29 04:20:13.043934,8月班
831,劉飛,2021-07-22 11:56:31.482764,8月班
832,趙婉婷,2021-07-22 08:54:58.049322,8月班
833,蔡冠宇,2021-07-27 16:56:23.534004,8月班
834,楊惠雯,2021-07-27 15:12:47.724441,8月班
835,牟雅雯,2021-07-28 18:23:27.913360,8月班
836,安惠婷,2021-07-27 14:44:36.249843,8月班
837,唐佳玲,2021-07-31 20:39:06.275279,8月班
838,曹怡如,2021-07-24 12:55:14.484056,8月班
839,李鈺婷,2021-07-26 10:12:09.176996,8月班
840,王俊宏,2021-07-31 10:39:20.396369,8月班
841,曾靜怡,2021-07-25 16:20:39.430516,8月班
842,孫靜宜,2021-07-28 07:33:22.949788,8月班
843,江雅婷,2021-07-26 04:29:14.193016,8月班
844,任冠宇,2021-07-25 00:38:40.445918,8月班
845,曹沖,2021-07-28 02:55:38.792579,8月班
846,周彥廷,2021-07-28 01:20:54.202469,8月班
847,趙威廷,2021-07-29 11:49:29.491365,8月班
848,余依婷,2021-08-27 05:32:19.759749,9月班
849,張佳樺,2021-08-23 12:31:47.915460,9月班
850,郭婉婷,2021-08-25 21:36:09.569952,9月班
851,陳淑玲,2021-08-27 18:34:34.377830,9月班
852,何詩婷,2021-08-26 13:52:05.550696,9月班
853,趙雅婷,2021-08-29 18:57:57.428563,9月班
854,莫建宏,2021-08-25 06:04:39.227926,9月班
855,龐宇軒,2021-08-27 10:32:55.980072,9月班
856,傅彥廷,2021-08-28 01:13:20.036475,9月班
857,韋志豪,2021-08-29 01:35:58.475990,9月班
858,覃淑慧,2021-08-21 09:16:27.613705,9月班
859,董佳蓉,2021-08-24 17:50:12.175044,9月班
860,李家瑜,2021-08-18 22:07:28.001241,9月班
861,張嘉玲,2021-08-29 02:41:29.615836,9月班
862,辛鈺婷,2021-08-22 22:24:28.421285,9月班
863,沈建宏,2021-08-30 04:42:26.264118,9月班
864,張郁婷,2021-08-21 21:28:56.100896,9月班
865,陳惠雯,2021-08-28 22:15:30.856581,9月班
866,施雅婷,2021-08-31 23:02:46.525179,9月班
867,薛羽,2021-08-29 19:28:26.642041,9月班
868,傅靜宜,2021-08-25 15:42:28.016819,9月班
869,馮雅萍,2021-08-30 13:42:55.280265,9月班
870,黃心怡,2021-08-30 00:53:52.679630,9月班
871,熊心怡,2021-08-26 19:31:28.964441,9月班
872,李婷婷,2021-08-28 04:12:30.125294,9月班
873,茍志豪,2021-08-24 22:03:07.716740,9月班
874,鐘怡如,2021-08-26 01:28:52.662774,9月班
875,李承翰,2021-08-29 02:23:43.112215,9月班
876,葉惠雯,2021-08-30 21:11:53.146266,9月班
877,王筱涵,2021-08-29 17:29:06.968915,9月班
878,徐彥廷,2021-08-31 23:11:24.423183,9月班
879,林飛,2021-08-25 00:29:29.028660,9月班
880,李雅琪,2021-08-24 06:11:13.607593,9月班
881,劉中山,2021-08-17 13:17:21.771597,9月班
882,吳淑慧,2021-08-31 02:38:45.658502,9月班
883,李嘉玲,2021-08-27 05:17:28.068043,9月班
884,張宜庭,2021-08-20 08:47:46.425077,9月班
885,劉淑華,2021-08-26 20:16:38.522914,9月班
886,周淑華,2021-08-27 20:08:24.630554,9月班
887,陳佩珊,2021-08-23 04:47:18.798390,9月班
888,王靜宜,2021-08-26 14:58:08.384818,9月班
889,王佩珊,2021-08-18 18:24:17.356700,9月班
890,黎沖,2021-08-31 07:05:27.599643,9月班
891,劉佳玲,2021-08-28 09:06:59.535985,9月班
892,賈淑貞,2021-08-27 14:22:53.576467,9月班
893,趙怡萱,2021-08-26 18:09:20.240396,9月班
894,白家銘,2021-08-29 21:30:02.401137,9月班
895,汪家瑋,2021-08-24 00:26:23.840570,9月班
896,段郁婷,2021-08-27 03:34:28.367344,9月班
897,張淑惠,2021-08-27 10:06:46.864348,9月班
898,劉詩涵,2021-08-23 23:15:00.636218,9月班
899,魯惠婷,2021-08-25 14:40:38.293093,9月班
900,譚佩君,2021-08-28 09:38:59.054482,9月班
901,黎家瑜,2021-08-24 01:30:05.968819,9月班
902,鄭靜宜,2021-08-20 18:45:51.237109,9月班
903,王詩涵,2021-08-25 14:26:21.137063,9月班
904,閻宜君,2021-08-27 18:06:32.757264,9月班
905,秦郁雯,2021-08-24 23:22:22.001938,9月班
906,張雅萍,2021-08-28 20:24:23.546171,9月班
907,尤佳樺,2021-08-31 06:35:42.915229,9月班
908,黃佳慧,2021-08-18 16:36:58.177371,9月班
909,郭志豪,2021-08-27 08:54:25.937492,9月班
910,李彥廷,2021-08-26 02:52:12.669713,9月班
911,林家瑋,2021-08-28 12:11:09.715407,9月班
912,廖雅琪,2021-08-28 16:24:48.310071,9月班
913,蔣俊宏,2021-08-28 08:10:06.245302,9月班
914,張傑克,2021-08-24 10:07:03.582377,9月班
915,斯筱涵,2021-08-20 07:59:59.438714,9月班
916,劉怡如,2021-08-31 02:11:36.113023,9月班
917,邢慧君,2021-08-29 23:50:22.486053,9月班
918,常沖,2021-08-31 21:39:00.787132,9月班
919,袁靜怡,2021-08-25 17:25:18.628177,9月班
920,黃柏翰,2021-08-25 08:03:02.851917,9月班
921,閻雅雯,2021-08-21 11:14:43.083602,9月班
922,王龍,2021-08-27 19:12:38.288716,9月班
923,薛欣怡,2021-08-22 00:22:02.959342,9月班
924,李信宏,2021-08-25 12:51:20.203557,9月班
925,劉傑克,2021-08-30 19:20:21.259438,9月班
926,張雅慧,2021-08-29 03:31:31.641045,9月班
927,潘美玲,2021-08-29 17:41:35.546955,9月班
928,蒲佳穎,2021-08-31 21:38:30.925118,9月班
929,陳鈺婷,2021-08-23 02:58:57.473800,9月班
930,王淑慧,2021-08-31 03:24:25.937976,9月班
931,惠雅芳,2021-08-27 07:00:43.312346,9月班
932,胡俊賢,2021-08-29 17:42:36.508792,9月班
933,陶婷婷,2021-08-30 09:15:43.153308,9月班
934,王琬婷,2021-08-25 11:39:48.094227,9月班
935,李雅玲,2021-08-31 04:28:24.331228,9月班
936,劉佩君,2021-08-31 10:40:28.206804,9月班
937,邱俊傑,2021-08-26 03:07:11.665865,9月班
938,郭淑玲,2021-08-28 02:18:33.771434,9月班
939,趙飛,2021-08-30 14:59:05.133874,9月班
940,趙龍,2021-08-24 16:42:49.406416,9月班
941,範怡如,2021-08-31 16:32:53.051873,9月班
942,秦宜君,2021-08-29 09:45:09.022549,9月班
943,陳佳蓉,2021-08-25 23:11:08.347163,9月班
944,何靜宜,2021-08-24 03:56:26.966458,9月班
945,朱家瑋,2021-08-20 09:03:37.152915,9月班
946,劉淑娟,2021-08-29 19:55:05.199486,9月班
947,白懿,2021-08-31 08:15:30.350117,9月班
948,黃心怡,2021-08-26 13:52:28.837241,9月班
949,曲俊宏,2021-08-20 04:03:52.306836,9月班
950,李靜宜,2021-08-26 11:30:43.000810,9月班
951,王宗翰,2021-08-23 03:45:48.977313,9月班
952,郭宗翰,2021-08-23 09:11:57.608283,9月班
953,張靜宜,2021-08-25 05:02:30.454694,9月班
954,葉柏翰,2021-08-25 21:20:17.812533,9月班
955,安慧君,2021-08-30 19:15:43.750319,9月班
956,塗淑玲,2021-08-29 00:19:16.195063,9月班
957,葛怡安,2021-08-24 08:09:39.492106,9月班
958,秦婉婷,2021-08-17 10:41:18.492230,9月班
959,陳怡君,2021-08-25 15:06:12.164533,9月班
960,唐佳慧,2021-08-24 20:24:33.103028,9月班
961,朱承翰,2021-08-31 17:20:07.603448,9月班
962,孔淑華,2021-08-28 08:19:27.336223,9月班
963,何宇軒,2021-08-24 22:32:27.413801,9月班
964,徐庭瑋,2021-08-26 04:38:20.201541,9月班
965,彭懿,2021-08-23 21:19:54.691500,9月班
966,杜佳樺,2021-08-24 15:47:00.741789,9月班
967,張宜庭,2021-08-27 02:29:28.714018,9月班
968,馬俊傑,2021-08-20 09:34:46.296433,9月班
969,蘇雅筑,2021-08-31 10:51:53.882324,9月班
970,席飛,2021-08-24 09:49:51.999223,9月班
971,張思穎,2021-08-31 21:04:30.299274,9月班
972,張馨儀,2021-08-29 17:04:01.079900,9月班
973,李信宏,2021-08-21 07:38:43.490682,9月班
974,許佳慧,2021-08-17 20:10:50.138509,9月班
975,範鈺婷,2021-08-31 19:46:36.244803,9月班
976,羅雅琪,2021-08-22 16:12:30.355974,9月班
977,段志豪,2021-08-30 13:22:44.155088,9月班
978,祝彥廷,2021-08-22 07:58:12.919016,9月班
979,陳俊宏,2021-08-30 14:48:41.929908,9月班
980,嚴美玲,2021-08-24 20:58:07.317837,9月班
981,管雅雯,2021-08-30 19:17:19.791723,9月班
982,王鈺婷,2021-08-31 21:55:06.923062,9月班
983,廖淑慧,2021-08-22 18:16:54.147933,9月班
984,莊怡如,2021-08-24 10:00:21.938960,9月班
985,郭佳玲,2021-08-24 23:47:18.778455,9月班
